smiles	idnumber
O=C1C(=CC2=CC=CC=N2)SC(=S)N1C1=CC=CC=C1	Z44354597
CC(C)N1C(C2=CC(C(N)=O)=CO2)=CSC1=NC1=CC=CC=C1	Z1047465402
CC1=C(C2=CSC(=NC3=CC=CC=C3)N2C(C)C)C=C(C(N)=O)O1	Z1198210068
COC1=CC=CC=C1NC(=O)CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O	Z48394895
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O)NC1=CC([N+](=O)[O-])=CC=C1	Z48394997
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O)NC1=CC=CC=C1	Z48395048
CC1=CC=C(NC(=O)CC2SC(=NC3=CC=CC=C3)N(CC3=CC=CO3)C2=O)C=C1	Z48395099
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O)NC1=CC=C(F)C=C1	Z48395150
COC1=CC=C(OC)C(NC(=O)CC2SC(=NC3=CC=CC=C3)N(CC3=CC=CO3)C2=O)=C1	Z48395201
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O)NC1=CC=CC=C1F	Z48395354
CC(=O)C1=CC=C(NC(=O)CC2SC(=NC3=CC=CC=C3)N(CC3=CC=CO3)C2=O)C=C1	Z48395405
COC1=CC=C(NC(=O)CC2SC(=NC3=CC=CC=C3)N(CC3=CC=CO3)C2=O)C([N+](=O)[O-])=C1	Z48395507
COC1=CC([N+](=O)[O-])=CC=C1NC(=O)CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O	Z48396323
CC1=CC=C(NC(=O)CC2SC(=NC3=CC=CC=C3)N(CC3=CC=CO3)C2=O)C([N+](=O)[O-])=C1	Z48396374
COC1=CC=C(NC(=O)CC2SC(=NC3=CC=CC=C3)N(CC3=CC=CO3)C2=O)C(OC)=C1	Z48396425
COC1=CC=C([N+](=O)[O-])C=C1NC(=O)CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O	Z48396476
CC1=CC=CC=C1NC(=O)CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O	Z48396527
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O)NC1=CC=C(F)C=C1F	Z48396629
COC1=CC=C(NC(=O)CC2SC(=NC3=CC=CC=C3)N(CC3=CC=CO3)C2=O)C=C1OC	Z48396833
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O)NCC1=CC=CC=C1	Z295876696
COC1=CC=CC(NC(=O)CC2SC(=NC3=CC=CC=C3)N(CC3=CC=CO3)C2=O)=C1	Z48397037
CCOC1=CC=C(NC(=O)CC2SC(=NC3=CC=CC=C3)N(CC3=CC=CO3)C2=O)C=C1	Z48396017
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O)NC1=CC=C(C(=O)O)C=C1	Z295876636
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O)NC1CC1	Z295876666
CNC(=O)CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O	Z295876726
CN(C)C1=CC=C(NC(=O)CC2SC(=NC3=CC=CC=C3)N(CC3=CC=CO3)C2=O)C=C1	Z737076554
CC1=CC(C(=O)O)=CC=C1NC(=O)CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O	Z823300036
N#CC1=CC=C(NC(=O)CC2SC(=NC3=CC=CC=C3)N(CC3=CC=CO3)C2=O)C=C1	Z1101457828
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O)NC1=CC(O)=CC=C1	Z1160908309
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O)NC1=CN=CC=N1	Z1151179543
CN(C)CCNC(=O)CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O	Z1143959265
CN(C)CCCNC(=O)CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O	Z1259343311
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O)NCCCO	Z2314122468
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O)NCCOCCO	Z2168784331
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=CO2)C1=O)NCC(F)(F)F	Z1899494878
COC1=CC=CC=C1NC(=O)CC1SC(=NC2=CC=CC=C2)N(CC2=CC=C3OCOC3=C2)C1=O	Z48394896
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=C3OCOC3=C2)C1=O)NC1=CC=CC=C1	Z48395049
O=C(CC1SC(=NC2=CC=CC=C2)N(CC2=CC=C3OCOC3=C2)C1=O)NC1=CC=CC=C1F	Z48395355
CC1=CC=CC=C1NC(=O)CC1SC(=NC2=CC=CC=C2)N(CC2=CC=C3OCOC3=C2)C1=O	Z48396528
